country,teams_active,teams_total,teams_perc,current_season
England,9,9,100.00%,4.166
Italy,7,7,100.00%,3.714
Spain,8,8,100.00%,4
Germany,7,7,100.00%,3.571
France,7,7,100.00%,2.785
Netherlands,6,6,100.00%,3.916
Portugal,4,5,80.00%,4.8
Belgium,3,5,60.00%,4.1
Turkey,3,5,60.00%,2.8
Czech Republic,4,5,80.00%,2.8
Greece,4,5,80.00%,3.3
Norway,2,5,40.00%,3.6
Poland,4,4,100.00%,4.875
Denmark,2,4,50.00%,5.375
Austria,3,5,60.00%,2.1
Switzerland,3,5,60.00%,2
Cyprus,3,4,75.00%,5.5
Scotland,3,5,60.00%,1.8
Sweden,2,4,50.00%,4
Israel,1,4,25.00%,2.625
Romania,2,4,50.00%,3.25
Croatia,2,4,50.00%,1.5
Hungary,1,4,25.00%,2.625
Serbia,1,4,25.00%,2.125
Slovakia,1,4,25.00%,1.625
Azerbaijan,1,4,25.00%,3.875
Slovenia,1,4,25.00%,2.625
Ukraine,2,4,50.00%,2.75
Bulgaria,1,4,25.00%,2.75
Russia,0,0,0.00%,0
Ireland,2,4,50.00%,3
Iceland,1,4,25.00%,2.625
Moldova,0,4,0.00%,1.5
Kazakhstan,1,4,25.00%,3.375
Armenia,1,4,25.00%,2
Latvia,0,4,0.00%,2
Finland,1,4,25.00%,2
Kosovo,1,4,25.00%,2.125
Bosnia-Herzegovina,1,4,25.00%,1.75
Faroe Islands,0,4,0.00%,1.75
Malta,1,4,25.00%,1.5
Liechtenstein,0,1,0.00%,1
Estonia,0,4,0.00%,1.625
Albania,0,4,0.00%,2.25
Lithuania,0,4,0.00%,1.125
Northern Ireland,0,4,0.00%,1.75
Andorra,0,3,0.00%,2
Belarus,0,4,0.00%,2.125
Luxembourg,0,4,0.00%,0.75
Montenegro,0,3,0.00%,1
North Macedonia,1,4,25.00%,2
Georgia,0,4,0.00%,1.125
Wales,0,3,0.00%,0.333
Gibraltar,1,3,33.33%,1.666
San Marino,0,3,0.00%,0.833
