country,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,24/25
Albania,0.875,0.75,2,0.875,2.125,0.875,2.625,1,0.75,2,1.625,0.875,2.125,1.25
Andorra,0,0,0.333,0.5,0.166,0.166,0.166,0.833,1.5,0.666,1.5,0.666,1.666,1
Armenia,0.125,0.875,1.125,0.375,1.625,1.125,0.625,1.5,2.75,1.375,1.875,2.375,2.25,4.375
Austria,7.125,2.25,7.8,4.125,3.8,7.375,9.75,6.2,5.8,6.7,10.4,4.9,4.8,9.65
Azerbaijan,1.375,3,2.5,3.625,4.375,4.25,4.375,2.375,3.375,2.5,4.375,4,5.875,2.875
Belarus,3.125,4.5,1.75,5.5,5.125,3,3.25,5,2.5,1.5,0.25,0.625,1.75,1.875
Belgium,10.1,6.5,6.4,9.6,7.4,12.5,2.6,7.8,7.6,6,6.6,14.2,14.4,15.65
Bosnia-Herzegovina,1.125,1.25,1.5,1.75,1.5,0.5,1.375,2,1.5,2.625,1.625,2,2.25,4.531
Bulgaria,1.5,0.75,5.625,4.25,1,4.25,4,4,4.125,4,3.375,4.5,4.375,3.625
Croatia,3.75,4.375,4.375,6.875,4.5,5.125,5.125,5.75,4.375,5.9,6,3.375,5.875,5.875
Cyprus,9.125,4,2.75,3.3,3,5.5,7,6.125,5.125,4,4.125,5.1,3.75,10.562
Czech Republic,5.25,8.5,8,3.875,7.3,5.5,5.5,6.5,2.5,6.6,6.7,6.75,13.5,10.55
Denmark,3.1,3.3,3.8,2.9,5.5,8.5,5.25,4.875,5.125,4.125,7.8,5.9,8.5,7.656
England,15.25,16.428,16.785,13.571,14.25,14.928,20.071,22.642,18.571,24.357,21,23,17.375,29.464
Estonia,0.375,0.375,1,1.5,1,1.375,0.625,0.5,0.875,1.375,3.666,1.166,0.125,1.625
Faroe Islands,0.5,0.5,0.875,1.375,0.375,0.375,0.75,1.125,1.125,2.75,1.5,2.25,2.75,1.5
Finland,1.5,2,0.5,2.4,1,1.75,1.25,0.875,1.625,1.375,3.75,2.625,1.75,2.25
France,10.5,11.75,8.5,10.916,11.083,14.416,11.5,10.583,11.666,7.916,18.416,12.583,16.25,17.928
Georgia,2.875,1.5,1.875,1.25,0.625,1.125,0.125,1.625,2.25,1.75,1.25,1.125,1.25,1.25
Germany,15.25,17.928,14.714,15.857,16.428,14.571,9.857,15.214,18.714,15.214,16.214,17.125,19.357,18.421
Gibraltar,0,0,0,0.25,0.75,1.5,0.5,1,1,1.666,1.25,0.875,0.166,1.5
Greece,7.6,4.4,6.1,6.2,5.4,5.8,5.1,5.1,4.9,5.1,8,2.125,11.4,12.687
Hungary,2.25,3,0.875,2.125,1.625,1.875,1.625,3.25,4.5,4.25,2.75,5.875,4.5,6.625
Iceland,1.375,1.25,2.5,2.5,1.125,1,1.125,1.5,0.625,0.625,1.5,3,3.833,4.562
Ireland,1.5,1,0.25,2,0.7,2.625,1.125,1,1.25,1.875,2.875,3.375,1.5,5.343
Israel,6,3.25,5.75,1.375,2.25,6.75,5.625,2.625,2.375,7,6.75,6.25,8.75,2.875
Italy,11.357,14.416,14.166,19,11.5,14.25,17.333,12.642,14.928,16.285,15.714,22.357,21,21.875
Kazakhstan,1.625,1.375,3.125,3.375,4.625,2.75,4.25,4.25,3.375,1,2.875,1.125,3.125,3
Kosovo,0,0,0,0,0,0,0,2.5,1.5,1.833,2.333,2.875,3,2
Latvia,0.625,1.25,1.625,0.25,1.625,1.375,0.75,1.625,2.25,1.375,2.625,2.75,1.625,3.875
Liechtenstein,2,0,1,2.5,5,2.5,2,1.5,2.5,0.5,0,6.5,0.5,0.5
Lithuania,1,1.125,1.25,0.5,0.75,0.5,2.375,2.625,1.625,1.625,1.75,2.375,1.125,1.375
Luxembourg,1.125,1.375,1.5,0.5,0.75,0.75,0.875,2.625,3,1,1.25,1.125,2.25,1.25
Malta,0.833,0.875,0.875,0.125,0.875,1.25,1.375,1.5,0.75,1.5,1.875,2.625,1.5,1
Moldova,0.5,2.25,3.375,1.75,1.25,0.875,2.75,1.125,0.75,1.375,5.25,3.75,2,2.125
Montenegro,0.5,1.375,1.25,0.75,1,0.875,1.125,0.375,1,1.625,0.75,1,1.333,2.5
Netherlands,13.6,4.214,5.916,6.083,5.75,9.1,2.9,8.6,9.4,9.2,19.2,13.5,10,15.25
North Macedonia,1.625,1.25,0.5,1.125,1.5,1.25,3.125,1,0.5,1.75,0.625,1.625,1.5,0.666
Northern Ireland,0.5,1,0.875,1.375,0.75,0.5,0.75,0.5,2.375,2.833,1.625,1.25,1.125,1.5
Norway,2.3,4.9,2.6,2.2,7.25,1.375,4,5.375,3.75,6.5,7.625,5.75,8,11.812
Poland,6.625,2.5,3.125,4.75,5.5,3.875,2.875,2.25,2.125,4,4.625,7.75,6.875,11.75
Portugal,11.833,11.75,9.916,9.083,10.5,8.083,9.666,10.9,10.3,9.6,12.916,12.5,11,16.25
Romania,4.333,6.8,6.875,5.125,2.25,3.3,2.9,2.375,5.875,3.75,2.25,6.25,3.25,7.75
Russia,9.75,9.75,10.416,9.666,11.5,9.2,12.6,7.583,4.666,4.333,5.3,4.333,4.333,4.333
San Marino,0,0,0.333,0,0,0,0.166,0.5,0,0.5,0.166,0.833,0.333,0.666
Scotland,2.75,4.3,3.25,4,3,4.375,4,6.75,9.75,8.5,7.9,3.5,6.4,9.25
Serbia,2.125,3,2.5,2.75,4.25,2.875,6.375,6,6,5.5,9.5,5.375,1.4,3.725
Slovakia,2.375,1.5,1.625,2.75,3.75,2.125,1.875,5.125,3,1.5,4.125,6,5,4.625
Slovenia,2.25,3.25,2.625,4,1,2.25,4.625,3.125,2,2.25,3,2.125,3.875,9.093
Spain,20.857,17.714,23,20.214,23.928,20.142,19.714,19.571,18.928,19.5,18.428,16.571,16.062,23.892
Sweden,2.9,5.125,3.2,3.9,4.75,2.75,5.375,4.125,5.75,2.5,5.125,6.25,1.875,11.375
Switzerland,6,8.375,7.2,6.9,5.3,4.3,6.5,3.9,6.4,5.125,7.75,8.5,5.2,7.05
Turkey,5.1,10.2,6.7,6,6.6,9.7,6.8,5.5,5,3.1,6.7,11.8,12,10.3
Ukraine,7.75,9.5,7.833,10,9.8,5.5,8,5.6,7.2,6.8,4.2,5.7,4.1,3.6
Wales,0.625,0.5,0.75,0.125,1.5,1,0.5,1,1,1.5,1.5,1.166,0.625,2
